Wavelength,400 nm,442 nm,500 nm,550 nm,600 nm,650 nm,700 nm,Large chequerboard (white),Large chequerboard (black),Printer paper (white),Printer paper (toner),dark skin,light skin,blue sky,foliage,blue flower,bluish green,orange,purplish blue,moderate red,purple,yellow green,orange yellow,blue,green,red,yellow,magenta,cyan,white 9.5 (.05 D),neutral 8 (.23 D),neutral 6.5 (.44 D),neutral 5 (.70 D),neutral 3.5 (1.05 D),black 2 (1.5 D),Small chequerboard (white),Small chequerboard (black)
1180,0.64569,0.376803,1.567814,0.943986,0.189439,0.334635,0.325738,0.9557705,0.050922,0.976226,0.070795,0.27059,0.903738,0.4151,0.233897,0.89495,0.942253,0.726965,0.9422,0.706817,0.623771,0.738814,0.861295,0.876987,0.730727,0.780311,0.931894,0.89998,0.54398,1.014596,0.668836,0.346791,0.153047,0.076713,0.045538,0.877685,0.0568695
1181,1.060009,0.193363,2.620881,1.678008,0.048294,0.478796,0.427587,0.954719,0.05088,0.975745,0.070934,0.270704,0.903726,0.415037,0.234025,0.894893,0.942162,0.726933,0.942308,0.706819,0.624,0.738968,0.861259,0.87719,0.730938,0.780301,0.931862,0.900025,0.544002,1.014555,0.668768,0.346757,0.153003,0.076664,0.045539,0.876925,0.0568905
1182,0.824108,0.482846,2.238219,1.435661,0.33684,1.131547,0.233132,0.953551,0.050887,0.975368,0.071002,0.270683,0.90365,0.415021,0.234207,0.894888,0.941996,0.726892,0.942438,0.706698,0.62426,0.738815,0.861225,0.877129,0.731036,0.780366,0.93174,0.90008,0.543779,1.014338,0.668636,0.346631,0.152757,0.076579,0.045524,0.8761365,0.0568215
1183,0.537793,0.959092,1.841083,1.052132,0.701699,2.13753,0,0.95239,0.0508885,0.974985,0.071067,0.270694,0.90359,0.415009,0.234381,0.894914,0.941839,0.726879,0.942593,0.706604,0.624515,0.738703,0.861226,0.877103,0.731162,0.780439,0.931656,0.900146,0.543581,1.014141,0.668528,0.34652,0.152536,0.076524,0.045516,0.875357,0.0567685
1184,0.450637,1.202217,1.674441,0.619441,0.376694,2.415787,0,0.95129,0.050902,0.974615,0.071066,0.27098,0.903747,0.415128,0.234539,0.895238,0.941826,0.727135,0.942922,0.706745,0.624752,0.738938,0.861467,0.877453,0.731496,0.780638,0.93186,0.900225,0.543722,1.014149,0.668621,0.346547,0.152569,0.076638,0.045565,0.874628,0.056892
1185,0.351566,1.443423,1.460371,0.1354625,0.012638,2.668793,0,0.9501925,0.0509155,0.974245,0.071065,0.271264,0.903904,0.415246,0.234696,0.89556,0.941813,0.727387,0.94325,0.706885,0.624988,0.739172,0.861707,0.877801,0.731829,0.780837,0.932061,0.900303,0.543862,1.014156,0.668713,0.346574,0.1526,0.07675,0.045614,0.8739,0.057014
1186,0.472189,0.504508,0.472996,0.051236,0.023701,0.76099,0,0.9488915,0.0509255,0.973848,0.071098,0.271398,0.903724,0.415196,0.234699,0.895578,0.941728,0.727287,0.943404,0.706884,0.62508,0.739348,0.861835,0.877985,0.731981,0.780833,0.932168,0.900272,0.543852,1.013946,0.668667,0.346551,0.152515,0.076614,0.045635,0.873019,0.0570095
1187,0.528277,0.18906,0.133824,0.0209695,0.033678,0.111256,0,0.947585,0.0509305,0.973454,0.071132,0.271532,0.903524,0.415134,0.234694,0.895584,0.941644,0.72718,0.943549,0.706883,0.625164,0.739524,0.861957,0.878165,0.732129,0.780819,0.93228,0.90024,0.543834,1.013723,0.66862,0.346524,0.152425,0.076477,0.045653,0.872136,0.0569985
1188,0.56139,0.422317,0.449248,0.18499,0.037487,0.052482,0,0.946355,0.0509425,0.973078,0.071083,0.271639,0.903641,0.415093,0.234786,0.895723,0.941574,0.727413,0.943859,0.706991,0.625607,0.739623,0.862156,0.878465,0.732433,0.781132,0.932499,0.90039,0.543793,1.013817,0.668769,0.346432,0.152372,0.076475,0.045541,0.871346,0.057021
1189,0.622333,3.155897,4.143191,1.9407705,0.04353,0.060942,0,0.9451445,0.050953,0.972706,0.071025,0.27174,0.903817,0.415055,0.234894,0.895885,0.941498,0.727687,0.944195,0.707108,0.626106,0.739713,0.862358,0.878785,0.73276,0.781491,0.932723,0.900575,0.543749,1.013971,0.668944,0.346323,0.152327,0.076493,0.045408,0.870573,0.05705
1190,0,8.785952,9.160028,7.644276,9.355312,2.698563,0,0.9437345,0.050889,0.972202,0.071093,0.271838,0.903847,0.414993,0.234919,0.896026,0.941501,0.727847,0.944466,0.707173,0.62636,0.739938,0.862575,0.879064,0.733047,0.781668,0.932972,0.900663,0.543729,1.01403,0.66899,0.346204,0.15223,0.076441,0.045385,0.869558,0.057079
1191,0,2.877307,1.123038,3.877621,9.669439,2.821292,0,0.9422565,0.050807,0.971658,0.071203,0.271933,0.903826,0.414932,0.234919,0.896164,0.941538,0.727987,0.944729,0.707234,0.626534,0.74021,0.862819,0.879336,0.733331,0.781801,0.93324,0.900723,0.543722,1.01406,0.669004,0.34609,0.152121,0.076367,0.045396,0.868459,0.057108
1192,0.164031,1.851163,0,2.9400125,7.654302,4.434701,0.357009,0.940711,0.0507805,0.971158,0.071231,0.272085,0.903994,0.414953,0.235018,0.896474,0.941655,0.728175,0.945031,0.707465,0.626801,0.740471,0.863114,0.87963,0.733672,0.781952,0.9335,0.900948,0.543805,1.014261,0.669175,0.346041,0.152045,0.076336,0.045474,0.8672905,0.057085
